species_data_code,species_code,scientific_name,Database_ID
Calicarpa bodinieri,kew-30688,Callicarpa bodinieri H.Lév.,ThePlantList
Cornus alba 'Elegantissima',COSES,Cornus alba L.,USDA Plants
Rhododendron calophytum,tro-50060048,Rhododendron calophytum Franch.,ThePlantList
Schefflera arboricola 'Gold Capella',SCAR10,Schefflera arboricola (Hayata) Merr.,USDA Plants
Acer negundo 'Variegatum',ACNE2,Acer negundo L.,USDA Plants
Acer pseudoplatanus L.,ACPS,Acer pseudoplatanus L.,USDA Plants
Alnus glutinosa L.,ALGL2,Alnus glutinosa (L.) Gaertn.,USDA Plants
Castanea sativa,CASA27,Castanea sativa Mill.,USDA Plants
Cercis siliquastrum,CESI9,Cercis siliquastrum L.,USDA Plants
Corylus maxima 'Purpurea',COMA18,Corylus maxima Mill.,USDA Plants
Cotinus coggygria,COCO10,Cotinus coggygria Scop.,USDA Plants
Eucalyptus gunnii,EUGU5,Eucalyptus gunnii Hook. f.,USDA Plants
Euonymus fortunei 'Emerald'n' Gold',EUFO5,Euonymus fortunei (Turcz.) Hand.-Maz.,USDA Plants
Euonymus fortunei 'Ovatus Aureus',EUFO5,Euonymus fortunei (Turcz.) Hand.-Maz.,USDA Plants
Euonymus fortunei 'Silver Queen',EUFO5,Euonymus fortunei (Turcz.) Hand.-Maz.,USDA Plants
Euonymus fortunei Hand.-Mazz,EUFO5,Euonymus fortunei (Turcz.) Hand.-Maz.,USDA Plants
Geranium,GERAN,Geranium L.,USDA Plants
Hedera helix 'Dentata Variegata',HEHE,Hedera helix L.,USDA Plants
Hydrangea macrophylla cv,HYMA7,Hydrangea macrophylla (Thunb.) Ser.,USDA Plants
Ilex aquifolium 'Golden Milkboy',ILAQ80,Ilex aquifolium L.,USDA Plants
Juglans regia  L.,JURE80,Juglans regia L.,USDA Plants
Ligustrum vulgare,LIVU,Ligustrum vulgare L.,USDA Plants
Liquidambar styraciflua L.,LIST2,Liquidambar styraciflua L.,USDA Plants
Liriodendron tulipifera L.,LITU,Liriodendron tulipifera L.,USDA Plants
Osmanthus heterophyllus,OSHE,Osmanthus heterophyllus (G. Don) P.S. Green,USDA Plants
Parthenocissus tricuspidata,PATR6,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,USDA Plants
Populus alba L.,POAL7,Populus alba L.,USDA Plants
Prunus laurocerasus 'Otto Luyken',PRLA5,Prunus laurocerasus L.,USDA Plants
Prunus laurocerasus L.,PRLA5,Prunus laurocerasus L.,USDA Plants
Prunus lusitanica L.,PRLU,Prunus lusitanica L.,USDA Plants
Quercus ilex L.,QUIL2,Quercus ilex L.,USDA Plants
Quercus palustris,QUPA2,Quercus palustris Münchh.,USDA Plants
Rhus typhina L.,RHTY,Rhus typhina L.,USDA Plants
Robinia pseudoacacia 'Frisia',ROPS,Robinia pseudoacacia L.,USDA Plants
Robinia pseudoacacia L.,ROPS,Robinia pseudoacacia L.,USDA Plants
Salix atrocinerea,SAAT2,Salix atrocinerea Brot.,USDA Plants
Syringa vulgaris L.,SYVU,Syringa vulgaris L.,USDA Plants
Tilia tomentosa,TITO,Tilia tomentosa Moench,USDA Plants
Viburnum plicatum 'Lanarth',VIPL,Viburnum plicatum Thunb.,USDA Plants
Viburnum rhytidophyllum,VIRH,Viburnum rhytidophyllum Hemsl.,USDA Plants
Viburnum tinus L.,VITI2,Viburnum tinus L.,USDA Plants
Vitis vinifera L,VIVI5,Vitis vinifera L.,USDA Plants
Vitis vinifera L. ssp. Sylvestris,VIVI5,Vitis vinifera L. ssp. Sylvestris,USDA Plants
Weigela florida 'Foliis Purpureis',WEFL2,Weigela florida (Bunge) A. DC.,USDA Plants
