raw_species_code,species_code,scientific_name,Database_ID
Lycopersicum esculentum,SOLY2,Solanum lycopersicum L.,USDA Plants
Quercus pubescens,kew-174591,Quercus pubescens Willd.,ThePlantList
Acer pseudoplatanus L.,ACPS,Acer pseudoplatanus L.,USDA Plants
Alnus glutinosa L.,ALGL2,Alnus glutinosa (L.) Gaertn.,USDA Plants
Bambusa arundinacea,BAAR8,Bambusa arundinacea (Retz.) Willd.,USDA Plants
Beta vulgaris L.,BEVU2,Beta vulgaris L.,USDA Plants
Betula pendula,BEPE3,Betula pendula Roth,USDA Plants
Brassica oleracea L.,BROL,Brassica oleracea L.,USDA Plants
Castanea sativa,CASA27,Castanea sativa Mill.,USDA Plants
Chamaerops humilis L.,CHHU7,Chamaerops humilis L.,USDA Plants
Corylus avellana L.,COAV80,Corylus avellana L.,USDA Plants
Ensete ventricosum,ENVE2,Ensete ventricosum (Welw.) Cheeseman,USDA Plants
Fagus sylvatica L.,FASY,Fagus sylvatica L.,USDA Plants
Ficus carica L.,FICA,Ficus carica L.,USDA Plants
Fraxinus excelsior L.,FREX80,Fraxinus excelsior L.,USDA Plants
Glycine max L.,GLMA4,Glycine max (L.) Merr.,USDA Plants
Hedera helix L.,HEHE,Hedera helix L.,USDA Plants
Helianthus annuus L.,HEAN3,Helianthus annuus L.,USDA Plants
Iris germanica L.,IRGE,Iris germanica L.,USDA Plants
Juglans regia L.,JURE80,Juglans regia L.,USDA Plants
Lactuca sativa L.,LASA3,Lactuca sativa L.,USDA Plants
Laurus nobilis L.,LANO80,Laurus nobilis L.,USDA Plants
Medicago sativa L.,MESA,Medicago sativa L.,USDA Plants
Morus alba L.,MOAL,Morus alba L.,USDA Plants
Morus nigra L.,MONI,Morus nigra L.,USDA Plants
Oryza sativa L.,ORSA,Oryza sativa L.,USDA Plants
Phleum pratense L.,PHPR3,Phleum pratense L.,USDA Plants
Phragmites australis,PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,USDA Plants
Populus tremula L.,POTR10,Populus tremula L.,USDA Plants
Populus x canadensis,POCA19,Populus ×canadensis Moench (pro sp.) [deltoides × nigra],USDA Plants
Prunus armeniaca L.,PRAR3,Prunus armeniaca L.,USDA Plants
Prunus laurocerasus L.,PRLA5,Prunus laurocerasus L.,USDA Plants
Prunus serotina,PRSE2,Prunus serotina Ehrh.,USDA Plants
Quercus rubra L.,QURU,Quercus rubra L.,USDA Plants
Robinia pseudoacacia L.,ROPS,Robinia pseudoacacia L.,USDA Plants
Salix alba L.,SAAL2,Salix alba L.,USDA Plants
Salvia officinalis L.,SAOF2,Salvia officinalis L.,USDA Plants
Solanum tuberosum L.,SOTU,Solanum tuberosum L.,USDA Plants
Sorghum halepense L.,SOHA,Sorghum halepense (L.) Pers.,USDA Plants
Tilia platyphyllos,TIPL,Tilia platyphyllos Scop.,USDA Plants
Trifolium pratense L.,TRPR2,Trifolium pratense L.,USDA Plants
Ulmus glabra,ULGL,Ulmus glabra Huds.,USDA Plants
Urtica dioica L.,URDI,Urtica dioica L.,USDA Plants
Vitis vinifera L.,VIVI5,Vitis vinifera L.,USDA Plants
Vitis vinifera L. ssp. Sylvestris,VIVI5,Vitis vinifera L.,USDA Plants
Zea mays L.,ZEMA,Zea mays L.,USDA Plants
