species_data_code,species_code,scientific_name,Database_ID
UNKN1,NA,NA,NA
ABBA,ABBA,Abies balsamea (L.) Mill.,USDA Plants
ACNE,ACNE2,Acer negundo L.,USDA Plants
ACPL,ACPL,Acer platanoides L.,USDA Plants
ACRU,ACRU,Acer rubrum L.,USDA Plants
ACSN,ACSA2,Acer saccharinum L.,USDA Plants
ACSM,ACSA3,Acer saccharum Marsh.,USDA Plants
ACSP,ACSP2,Acer spicatum Lam.,USDA Plants
ALIN,ALIN2,Alnus incana (L.) Moench,USDA Plants
ANGE,ANGE,Andropogon gerardii Vitman,USDA Plants
BEAL,BEAL2,Betula alleghaniensis Britton,USDA Plants
BEGL,BEGL,Betula glandulosa Michx.,USDA Plants
BELE,BELE,Betula lenta L.,USDA Plants
BEPA,BEPA,Betula papyrifera Marsh.,USDA Plants
CAREX,CAREX,Carex L.,USDA Plants
CAAL,CATO6,Carya alba (L.) Nutt.,USDA Plants
CAOV,CAOV2,Carya ovata (Mill.) K. Koch,USDA Plants
CEOC,CEOC,Celtis occidentalis L.,USDA Plants
CHCA,CHCA2,Chamaedaphne calyculata (L.) Moench,USDA Plants
COFL,COFL2,Cornus florida L.,USDA Plants
COAM,COAM3,Corylus americana Walter,USDA Plants
FAGR,FAGR,Fagus grandifolia Ehrh.,USDA Plants
FRAM,FRAM2,Fraxinus americana L.,USDA Plants
FRNI,FRNI,Fraxinus nigra Marsh.,USDA Plants
FRPE,FRPE,Fraxinus pennsylvanica Marsh.,USDA Plants
JUNI,JUNI,Juglans nigra L.,USDA Plants
JUVI,JUVI,Juniperus virginiana L.,USDA Plants
LALA,LALA,Larix laricina (Du Roi) K. Koch,USDA Plants
LEGR,LEGR,Ledum groenlandicum Oeder,USDA Plants
LITU,LITU,Liriodendron tulipifera L.,USDA Plants
MAAC,MAAC,Magnolia acuminata (L.) L.,USDA Plants
NYSY,NYSY,Nyssa sylvatica Marsh.,USDA Plants
OSVI,OSVI,Ostrya virginiana (Mill.) K. Koch,USDA Plants
PIMA,PIMA,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",USDA Plants
PIRU,PIRU,Picea rubens Sarg.,USDA Plants
PIBA,PIBA2,Pinus banksiana Lamb.,USDA Plants
PIPU,PIPU5,Pinus pungens Lamb.,USDA Plants
PIRE,PIRE,Pinus resinosa Aiton,USDA Plants
PIST,PIST,Pinus strobus L.,USDA Plants
PISY,PISY,Pinus sylvestris L.,USDA Plants
PIVI,PIVI2,Pinus virginiana Mill.,USDA Plants
PODE,PODE3,Populus deltoides Bartram ex Marsh.,USDA Plants
POGR,POGR4,Populus grandidentata Michx.,USDA Plants
POTR,POTR5,Populus tremuloides Michx.,USDA Plants
PRUNUS,PRUNU,Prunus L.,USDA Plants
PRPE,PRPE2,Prunus pensylvanica L. f.,USDA Plants
PRSE,PRSE2,Prunus serotina Ehrh.,USDA Plants
QUAL,QUAL,Quercus alba L.,USDA Plants
QUEL,QUEL,Quercus ellipsoidalis E.J. Hill,USDA Plants
QUMA,QUMA2,Quercus macrocarpa Michx.,USDA Plants
QUPR,QUMO4,Quercus prinus L.,USDA Plants
QURU,QURU,Quercus rubra L.,USDA Plants
QUVE,QUVE,Quercus velutina Lam.,USDA Plants
RHCA,RHCA3,Rhamnus cathartica L.,USDA Plants
ROPS,ROPS,Robinia pseudoacacia L.,USDA Plants
SAAL,SAAL5,Sassafras albidum (Nutt.) Nees,USDA Plants
THOC,THOC2,Thuja occidentalis L.,USDA Plants
TIAM,TIAM,Tilia americana L.,USDA Plants
TSCA,TSCA,Tsuga canadensis (L.) Carrière,USDA Plants
TYLA,TYLA,Typha latifolia L.,USDA Plants
ULAM,ULAM,Ulmus americana L.,USDA Plants
LONICERA,LONIC,Lonicera L.,USDA Plants
RHMA,RHMA,Rhexia mariana L.,USDA Plants
HAVI,HAVI4,Hamamelis virginiana L.,USDA Plants
KALA,KALA,Kalmia latifolia L.,USDA Plants
SPPE,SPPE,Spartina pectinata Bosc ex Link,USDA Plants
SALIX,SALIX,Salix L.,USDA Plants
PHAR,PHAR3,Phalaris arundinacea L.,USDA Plants
