species_data_code,species_code,scientific_name,Database_ID
ARFU2,ARFU2,Arctophila fulva (Trin.) Andersson,USDA Plants
ARLA2,ARLA2,Arctagrostis latifolia (R.Br.) Griseb.,USDA Plants
CAAQ,CAAQ,Carex aquatilis Wahlenb.,USDA Plants
DUFI,DUFI,Dupontia fisheri R.Br.,USDA Plants
ERAN6,ERAN6,Eriophorum angustifolium Honck.,USDA Plants
PEFR5,PEFR5,Petasites frigidus (L.) Fr.,USDA Plants
SAPU15,SAPU15,Salix pulchra Cham.,USDA Plants
SALPUL,SAPU15,Salix pulchra Cham.,USDA Plants
SALRIC,SARI4,Salix richardsonii Hook.,USDA Plants
VAVI,VAVI,Vaccinium vitis-idaea L.,USDA Plants
SARO2,SARO2,Salix rotundifolia Trautv.,USDA Plants
POAR2,POAR2,Poa arctica R. Br.,USDA Plants
LUAR9,LUAR9,Luzula arctica Blytt,USDA Plants
SAPU6,SANEN,Saxifraga punctata L.,USDA Plants
POHY4,PONA6,Potentilla hyparctica Malte,USDA Plants
ALNFRU,ALVIS,Alnus alnobetula subsp. fruticosa (Rupr.) Raus,USDA Plants
BETGLA,BENAE,Betula nana L. subsp. exilis,USDA Plants
SALGLA,SAGL,Salix glauca var. acutifolia (Hook.) C.K.Schneid.,USDA Plants
